what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1248434155829
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1248434156204
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434158501
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434161204
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1248434163611
started,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1248434163767
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434164517
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434164517
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434164611
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434165518
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1248434168534
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1248434169378
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434171753
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434175253
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1248434178988
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434181285
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434183114
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1248434184677
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1248434185864
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434188271
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434209258
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1248434211837
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434212602
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434212602
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248434212665
